Ref_Date,GEO,TRAFFIC,Vector,Coordinate,Value
2010,Canada,"Total, passengers enplaned and deplaned",v65781694,100000.1,109099196.0
2011,Canada,"Total, passengers enplaned and deplaned",v65781694,100000.1,113471763.0
2012,Canada,"Total, passengers enplaned and deplaned",v65781694,100000.1,119197489.0
2013,Canada,"Total, passengers enplaned and deplaned",v65781694,100000.1,123909945.0
2014,Canada,"Total, passengers enplaned and deplaned",v65781694,100000.1,129868870.0
2015,Canada,"Total, passengers enplaned and deplaned",v65781694,100000.1,133354859.0
2010,Canada,Passengers enplaned,v65781695,100000.2,54527040.0
2011,Canada,Passengers enplaned,v65781695,100000.2,56617756.0
2012,Canada,Passengers enplaned,v65781695,100000.2,59435243.0
2013,Canada,Passengers enplaned,v65781695,100000.2,61814399.0
2014,Canada,Passengers enplaned,v65781695,100000.2,64856241.0
2015,Canada,Passengers enplaned,v65781695,100000.2,66642201.0
2010,Canada,Passengers deplaned,v65781696,100000.3,54572156.0
2011,Canada,Passengers deplaned,v65781696,100000.3,56854007.0
2012,Canada,Passengers deplaned,v65781696,100000.3,59762246.0
2013,Canada,Passengers deplaned,v65781696,100000.3,62095546.0
2014,Canada,Passengers deplaned,v65781696,100000.3,65012629.0
2015,Canada,Passengers deplaned,v65781696,100000.3,66712658.0
2010,Canada,"Total, passenger sector",v65781697,100000.4,109099196.0
2011,Canada,"Total, passenger sector",v65781697,100000.4,113471763.0
2012,Canada,"Total, passenger sector",v65781697,100000.4,119197489.0
2013,Canada,"Total, passenger sector",v65781697,100000.4,123909945.0
2014,Canada,"Total, passenger sector",v65781697,100000.4,129868870.0
2015,Canada,"Total, passenger sector",v65781697,100000.4,133354859.0
2010,Canada,Domestic sector,v65781698,100000.5,65755357.0
2011,Canada,Domestic sector,v65781698,100000.5,67786272.0
2012,Canada,Domestic sector,v65781698,100000.5,71547205.0
2013,Canada,Domestic sector,v65781698,100000.5,75221558.0
2014,Canada,Domestic sector,v65781698,100000.5,77969562.0
2015,Canada,Domestic sector,v65781698,100000.5,79460533.0
2010,Canada,Transborder sector,v65781699,100000.6,21964479.0
2011,Canada,Transborder sector,v65781699,100000.6,22752987.0
2012,Canada,Transborder sector,v65781699,100000.6,24022456.0
2013,Canada,Transborder sector,v65781699,100000.6,24671714.0
2014,Canada,Transborder sector,v65781699,100000.6,26198902.0
2015,Canada,Transborder sector,v65781699,100000.6,26491992.0
2010,Canada,Other International sector,v65781700,100000.7,21379360.0
2011,Canada,Other International sector,v65781700,100000.7,22932504.0
2012,Canada,Other International sector,v65781700,100000.7,23627828.0
2013,Canada,Other International sector,v65781700,100000.7,24016673.0
2014,Canada,Other International sector,v65781700,100000.7,25700406.0
2015,Canada,Other International sector,v65781700,100000.7,27402334.0
2010,Canada,Passenger flights,v65781701,100000.8,2259558.0
2011,Canada,Passenger flights,v65781701,100000.8,2318795.0
2012,Canada,Passenger flights,v65781701,100000.8,2371306.0
2013,Canada,Passenger flights,v65781701,100000.8,2389099.0
2014,Canada,Passenger flights,v65781701,100000.8,2369513.0
2015,Canada,Passenger flights,v65781701,100000.8,2342663.0
2010,Newfoundland and Labrador,"Total, passengers enplaned and deplaned",v65781702,101000.1,1913998.0
2011,Newfoundland and Labrador,"Total, passengers enplaned and deplaned",v65781702,101000.1,2038333.0
2012,Newfoundland and Labrador,"Total, passengers enplaned and deplaned",v65781702,101000.1,2206602.0
2013,Newfoundland and Labrador,"Total, passengers enplaned and deplaned",v65781702,101000.1,2285259.0
2014,Newfoundland and Labrador,"Total, passengers enplaned and deplaned",v65781702,101000.1,2372704.0
2015,Newfoundland and Labrador,"Total, passengers enplaned and deplaned",v65781702,101000.1,2315185.0
2010,Newfoundland and Labrador,Passengers enplaned,v65781703,101000.2,963615.0
2011,Newfoundland and Labrador,Passengers enplaned,v65781703,101000.2,1020774.0
2012,Newfoundland and Labrador,Passengers enplaned,v65781703,101000.2,1110722.0
2013,Newfoundland and Labrador,Passengers enplaned,v65781703,101000.2,1137534.0
2014,Newfoundland and Labrador,Passengers enplaned,v65781703,101000.2,1186814.0
2015,Newfoundland and Labrador,Passengers enplaned,v65781703,101000.2,1158449.0
2010,Newfoundland and Labrador,Passengers deplaned,v65781704,101000.3,950383.0
2011,Newfoundland and Labrador,Passengers deplaned,v65781704,101000.3,1017559.0
2012,Newfoundland and Labrador,Passengers deplaned,v65781704,101000.3,1095880.0
2013,Newfoundland and Labrador,Passengers deplaned,v65781704,101000.3,1147725.0
2014,Newfoundland and Labrador,Passengers deplaned,v65781704,101000.3,1185890.0
2015,Newfoundland and Labrador,Passengers deplaned,v65781704,101000.3,1156736.0
2010,Newfoundland and Labrador,"Total, passenger sector",v65781705,101000.4,1913998.0
2011,Newfoundland and Labrador,"Total, passenger sector",v65781705,101000.4,2038333.0
2012,Newfoundland and Labrador,"Total, passenger sector",v65781705,101000.4,2206602.0
2013,Newfoundland and Labrador,"Total, passenger sector",v65781705,101000.4,2285259.0
2014,Newfoundland and Labrador,"Total, passenger sector",v65781705,101000.4,2372704.0
2015,Newfoundland and Labrador,"Total, passenger sector",v65781705,101000.4,2315185.0
2010,Newfoundland and Labrador,Domestic sector,v65781706,101000.5,1814888.0
2011,Newfoundland and Labrador,Domestic sector,v65781706,101000.5,1943527.0
2012,Newfoundland and Labrador,Domestic sector,v65781706,101000.5,2082371.0
2013,Newfoundland and Labrador,Domestic sector,v65781706,101000.5,2142579.0
2014,Newfoundland and Labrador,Domestic sector,v65781706,101000.5,2199109.0
2015,Newfoundland and Labrador,Domestic sector,v65781706,101000.5,2155196.0
2010,Newfoundland and Labrador,Transborder sector,v65781707,101000.6,37310.0
2011,Newfoundland and Labrador,Transborder sector,v65781707,101000.6,40349.0
2012,Newfoundland and Labrador,Transborder sector,v65781707,101000.6,56775.0
2013,Newfoundland and Labrador,Transborder sector,v65781707,101000.6,60099.0
2014,Newfoundland and Labrador,Transborder sector,v65781707,101000.6,65804.0
2015,Newfoundland and Labrador,Transborder sector,v65781707,101000.6,44272.0
2010,Newfoundland and Labrador,Other International sector,v65781708,101000.7,61800.0
2011,Newfoundland and Labrador,Other International sector,v65781708,101000.7,54457.0
2012,Newfoundland and Labrador,Other International sector,v65781708,101000.7,67456.0
2013,Newfoundland and Labrador,Other International sector,v65781708,101000.7,82581.0
2014,Newfoundland and Labrador,Other International sector,v65781708,101000.7,107791.0
2015,Newfoundland and Labrador,Other International sector,v65781708,101000.7,115717.0
2010,Newfoundland and Labrador,Passenger flights,v65781709,101000.8,66718.0
2011,Newfoundland and Labrador,Passenger flights,v65781709,101000.8,70893.0
2012,Newfoundland and Labrador,Passenger flights,v65781709,101000.8,78674.0
2013,Newfoundland and Labrador,Passenger flights,v65781709,101000.8,78827.0
2014,Newfoundland and Labrador,Passenger flights,v65781709,101000.8,83611.0
2015,Newfoundland and Labrador,Passenger flights,v65781709,101000.8,79125.0
2010,"Black Tickle, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780694,5157.1,x
2011,"Black Tickle, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780694,5157.1,x
2012,"Black Tickle, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780694,5157.1,x
2013,"Black Tickle, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780694,5157.1,x
2014,"Black Tickle, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780694,5157.1,x
2015,"Black Tickle, Newfoundland and Labrador","Total, passengers enplaned and deplaned",v65780694,5157.1,x
2010,"Black Tickle, Newfoundland and Labrador",Passengers enplaned,v65780695,5157.2,x
2011,"Black Tickle, Newfoundland and Labrador",Passengers enplaned,v65780695,5157.2,x
2012,"Black Tickle, Newfoundland and Labrador",Passengers enplaned,v65780695,5157.2,x
2013,"Black Tickle, Newfoundland and Labrador",Passengers enplaned,v65780695,5157.2,x
2014,"Black Tickle, Newfoundland and Labrador",Passengers enplaned,v65780695,5157.2,x
2015,"Black Tickle, Newfoundland and Labrador",Passengers enplaned,v65780695,5157.2,x
2010,"Black Tickle, Newfoundland and Labrador",Passengers deplaned,v65780696,5157.3,x
2011,"Black Tickle, Newfoundland and Labrador",Passengers deplaned,v65780696,5157.3,x
2012,"Black Tickle, Newfoundland and Labrador",Passengers deplaned,v65780696,5157.3,x
2013,"Black Tickle, Newfoundland and Labrador",Passengers deplaned,v65780696,5157.3,x
2014,"Black Tickle, Newfoundland and Labrador",Passengers deplaned,v65780696,5157.3,x
2015,"Black Tickle, Newfoundland and Labrador",Passengers deplaned,v65780696,5157.3,x
2010,"Black Tickle, Newfoundland and Labrador","Total, passenger sector",v65780697,5157.4,x
2011,"Black Tickle, Newfoundland and Labrador","Total, passenger sector",v65780697,5157.4,x
2012,"Black Tickle, Newfoundland and Labrador","Total, passenger sector",v65780697,5157.4,x
2013,"Black Tickle, Newfoundland and Labrador","Total, passenger sector",v65780697,5157.4,x
2014,"Black Tickle, Newfoundland and Labrador","Total, passenger sector",v65780697,5157.4,x
2015,"Black Tickle, Newfoundland and Labrador","Total, passenger sector",v65780697,5157.4,x
2010,"Black Tickle, Newfoundland and Labrador",Domestic sector,v65780698,5157.5,x
2011,"Black Tickle, Newfoundland and Labrador",Domestic sector,v65780698,5157.5,x
2012,"Black Tickle, Newfoundland and Labrador",Domestic sector,v65780698,5157.5,x
2013,"Black Tickle, Newfoundland and Labrador",Domestic sector,v65780698,5157.5,x
2014,"Black Tickle, Newfoundland and Labrador",Domestic sector,v65780698,5157.5,x
2015,"Black Tickle, Newfoundland and Labrador",Domestic sector,v65780698,5157.5,x
2010,"Black Tickle, Newfoundland and Labrador",Transborder sector,v65780699,5157.6,0.0
2011,"Black Tickle, Newfoundland and Labrador",Transborder sector,v65780699,5157.6,0.0
