"Passenger Movement (Number) by Irish Airport, Direction, Foreign",,,
Airport and Month,,,
,,,
 , , ,2016M09
"Donegal (CFN),Republic Of Ireland",,,
 ,Inward,,
 , ,"Aachen (AAH),Germany",0
 , ,"Aalborg (AAL),Denmark",0
 , ,"AL Ain (Buraymi West) (AAN),United Arab Emirates",0
 , ,"Aarhus  (AAR),Denmark",0
 , ,"Los Llanos (ABC),Spain",0
 , ,"Allentown Bethleham Easton (ABE),USA",0
 , ,"Abu Simbel (ABS),Egypt",0
 , ,"Abuja (ABV),Nigeria",0
 , ,"Albany-South West Georgia (ABY),USA",0
 , ,"Aberdeen (ABZ),Great Britain",0
 , ,"Acapulco (ACA),Mexico",0
 , ,"Accra (ACC),Ghana",0
 , ,"Lanzarote (ACE),Spain",0
 , ,"Altenrhein (ACH),Switzerland",0
 , ,"Alderney (ACI),Great Britain",0
 , ,"Nantucket (ACK),USA",0
 , ,"Atlantic City (ACY),USA",0
 , ,"Adana (ADA),Turkey",0
 , ,"Izmir (ADB),Turkey",0
 , ,"Addis Ababa (ADD),Ethiopia",0
 , ,"Amman Marka (ADJ),Jordan",0
 , ,"Andrews (ADR),USA",0
 , ,"Addison (ADS),USA",0
 , ,"Andrews Afb (ADW),USA",0
 , ,"St. Andrews - Leuchars  (ADX),Great Britain",0
 , ,"Adler-Sochi (AER),Russian Federation",0
 , ,"Alesund (AES),Norway",0
 , ,"Akureyri (AEY),Iceland",0
 , ,"Fort Worth (AFW),USA",0
 , ,"Agadir (AGA),Morocco",0
 , ,"Augsburg (AGB),Germany",0
 , ,"Pittsburgh - Allegheny (AGC),USA",0
 , ,"Agen (AGF),France",0
 , ,"Helsingborg Angelholm (AGH),Sweden",0
 , ,"Angoon Alaska (AGN),USA",0
 , ,"Malaga (AGP),Spain",0
 , ,"Augusta Bush Field (AGS),USA",0
 , ,"Alghero (AHO),Italy",0
 , ,"Ajaccio (AJA),France",0
 , ,"Arvidsjaur (AJR), Sweden",0
 , ,"Albany Int - New York (ALB),USA",0
 , ,"Alicante (ALC),Spain",0
 , ,"Alta (ALF),Norway",0
 , ,"Algers Boumediene (ALG),Algeria",0
 , ,"Albenga (ALL),Italy",0
 , ,"Alexandria - El Nozha (ALY),Egypt",0
 , ,"Ahmadabad (AMD),India",0
 , ,"Amman (AMM),Jordan",0
 , ,"Amsterdam (AMS),Netherlands",0
 , ,"Anchorage (ANC),USA",0
 , ,"Angers - Marce (ANE),France",0
 , ,"Angouleme (ANG),France",0
 , ,"Ankara - Etimesgut (ANK),Turkey",0
 , ,"Antwerp Deurne  (ANR),Belgium",0
 , ,"Antiga VC Bird Intl (ANU),Antigua and Barbuda",0
 , ,"Altenburg - Nobitz (AOC),Germany",0
 , ,"Ancona (AOI),Italy",0
 , ,"Dove Valley, Centennial Airport, Denver (APA), USA",0
 , ,"Naples Municipal, Florida (APF), USA",0
 , ,"Aqaba (AQJ),Jordan",0
 , ,"Stockholm - Arlanda (ARN),Sweden",0
 , ,"Ashgabat (ASB), Turkmenistan",0
 , ,"Aspen (ASE),USA",0
 , ,"Asmara (ASM),Eritrea",0
 , ,"Aswan (ASW),Egypt",0
 , ,"Athens Venezelos (ATH),Greece",0
 , ,"Atlanta (ATL),USA",0
 , ,"Aruba Reina Beatrix (AUA),Aruba",0
 , ,"Auxerre-Moneteau (AUF),France",0
 , ,"Abu Dhabi (AUH),United Arab Emirates",0
 , ,"Austin (AUS),USA",0
 , ,"Aviano (AVB),Italy",0
 , ,"Asheville Regional (AVL),USA",0
 , ,"Avignon (AVN),France",0
 , ,"Antalya (AYT),Turkey",0
 , ,"Bateen, Abu Dhabi (AZI), United Arab Emirates",0
 , ,"Kalamazoo (AZO),USA",0
 , ,"Adrar (AZR),Algeria",0
 , ,"Westfield - Barnes Municipal (BAF),USA",0
 , ,"Bahrain Intl (BAH),Bahrain",0
 , ,"Baku - Bina (BAK),Azerbaijan",0
 , ,"Bhubaneswar (BBI), India",0
 , ,"Bembridge (BBP),Great Britain",0
 , ,"Blackbushe (BBS),Great Britain",0
 , ,"Bucharest - Baneasa (BBU),Romania",0
 , ,"Bacau (BCM),Romania",0
 , ,"Barcelona (BCN),Spain",0
 , ,"Boca Raton, Florida (BCT), USA",0
 , ,"Bermuda Intl (BDA),Bermuda",0
 , ,"Windsor Locks - Bradley Intl (BDL),USA",0
 , ,"Brindisi (BDS),Italy",0
 , ,"Bardufoss (BDU),Norway",0
 , ,"Uncoded/Unknown (BE1),Belgium",0
 , ,"Benbecula (BEB),Great Britain",0
 , ,"Bedford Hanscom Field (BED),USA",0
 , ,"Belgrade (BEG),Serbia",0
 , ,"Belem - Val De Can (BEL),Brazil",0
 , ,"Benghazi Benina Intl (BEN),Libyan Arab Jamahiriya",0
 , ,"Berlin - Brandenburg (BER),Germany",0
 , ,"Brest (BES),France",0
 , ,"Beira (BEW),Mozambique",0
 , ,"Beirut (BEY),Lebanon",0
 , ,"Bielefeld (BFE),Germany",0
 , ,"Boeing Field Intl  (BFI),USA",0
 , ,"Bedford Virgil I Grissom Municipal  (BFR),USA",0
 , ,"Belfast - Aldergrove (BFS),Northern Ireland",0
 , ,"Barbados - Bridgetown (BGI),Barbados",0
 , ,"Bergen Flesland (BGO),Norway",9
 , ,"Bangor (BGR),USA",0
 , ,"Bergamo - Orio Al Seri (BGY),Italy",0
 , ,"Belfast City (BHD),Northern Ireland",0
 , ,"Birmingham - Us (BHM),USA",0
 , ,"Birmingham - Uk (BHX),Great Britain",0
 , ,"Bastia (BIA),France",0
 , ,"Billings Logan Intl (BIL), USA",0
 , ,"Bilbao (BIO),Spain",0
 , ,"Biarritz  (BIQ),France",0
 , ,"Bodrum - Milas  (BJV),Turkey",0
 , ,"Badajoz (BJZ),Spain",0
 , ,"Bangkok (BKK),Thailand",0
 , ,"Borlange (BLE),Sweden",0
 , ,"Blackpool (BLK),Great Britain",0
 , ,"Billund (BLL),Denmark",0
 , ,"Belmar (BLM), USA",0
 , ,"Bologna (BLQ),Italy",0
 , ,"Stockholm - Bromma (BMA),Sweden",0
 , ,"Nashville (BNA),USA",0
 , ,"Bronnoysund - Bronnoy (BNN),Norway",0
 , ,"Bordeaux - Merignac (BOD),France",0
 , ,"Bournemouth (BOH),Great Britain",0
 , ,"Bourgas (BOJ),Bulgaria",0
 , ,"Mumbai - Chhatrapati Shivaji Int (BOM),India",0
 , ,"Bodo (BOO),Norway",0
 , ,"Boston (BOS),USA",0
 , ,"Bourges (BOU),France",0
 , ,"Biggin Hill (BQH),Great Britain",0
 , ,"Bremen (BRE),Germany",0
 , ,"Bari (BRI),Italy",0
 , ,"Berne Belp (BRN),Switzerland",5
 , ,"Brno (BRQ),Czech Republic",0
 , ,"Bristol (BRS),Great Britain",0
 , ,"Brussels (BRU),Belgium",0
 , ,"Bremerhaven (BRV), Germany",0
 , ,"Brasilia (BSB),Brazil",0
 , ,"Basel Mulhouse (BSL),France",0
 , ,"Battle Creek Wk Kellogg Rgl (BTL),USA",0
 , ,"Bratislava - M.R Stefa (BTS),Slovakia",0
 , ,"Burlington Vermont (BTV),USA",0
 , ,"Budapest (BUD),Hungary",0
 , ,"Buffalo (BUF),USA",0
 , ,"Burbank-Hollywood (BUR),USA",0
 , ,"Paris - Beauvais (BVA),France",0
 , ,"Brive-La-Gaillarde (BVE),France",0
 , ,"Braunschweig (BWE),Germany",0
 , ,"Barrow - Walney Island (BWF),Great Britain",0
 , ,"Baltimore  - Washington Dc (BWI),USA",0
 , ,"Imsik (BXN),Turkey",0
 , ,"Buochs (BXO),Switzerland",0
 , ,"Bayreuth (BYU),Germany",0
 , ,"Bydgoszcz (BZG),Poland",0
 , ,"Bolzano (BZO),Italy",0
 , ,"Beziers (BZR),France",0
 , ,"Maya Maya Airport, Brazzaville (BZV), Congo",0
 , ,"Brize Norton (BZZ),Great Britain",0
 , ,"Columbia Metropolitan (CAE),USA",0
 , ,"Cagliari (CAG),Italy",0
 , ,"Cairo (CAI),Egypt",0
 , ,"Campbeltown (CAL),Great Britain",0
 , ,"Casablanca - Anfa (CAS),Morocco",0
 , ,"Carlisle (CAX),Great Britain",0
 , ,"Cambridge (CBG),Great Britain",0
 , ,"Cottbus (CBU),Germany",0
 , ,"Carcassonne (CCF),France",0
 , ,"Paris - Charles De Gaulle (CDG),France",0
 , ,"Chester (CEG),Great Britain",0
 , ,"Cannes Mandelieu (CEQ),France",0
 , ,"Cherbourg (CER),France",0
