rundate,this_period,last_period,group_name,airport_1_name,airport_2_name,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,BELFAST CITY (GEORGE BEST),3740,3740,0,3245,3245,0,15.25424
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,BIRMINGHAM,11866,11866,0,10508,10508,0,12.92349
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,BRISTOL,1935,1935,0,2285,2285,0,-15.31729
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,CARDIFF WALES,564,564,0,946,946,0,-40.38055
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,DONCASTER SHEFFIELD,0,0,0,98,0,98,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,DURHAM TEES VALLEY,1399,1399,0,2217,2217,0,-36.89671
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,EAST MIDLANDS INTERNATIONAL,548,548,0,1345,1345,0,-59.25651
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,GATWICK,15198,15198,0,15598,15598,0,-2.56443
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,HEATHROW,55398,55398,0,60116,60116,0,-7.84816
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,HUMBERSIDE,1889,1889,0,2487,2487,0,-24.04503
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,KIRKWALL,4074,4074,0,3717,3717,0,9.60452
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,LEEDS BRADFORD,315,315,0,724,724,0,-56.49171
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,LONDON CITY,4744,4744,0,7666,7666,0,-38.11636
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,LUTON,7863,7863,0,6974,6940,34,12.74735
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,MANCHESTER,17756,17756,0,17931,17733,198,-0.97596
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,NEWCASTLE,981,981,0,1432,1432,0,-31.49441
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,NORWICH,3500,3500,0,4044,4044,0,-13.45203
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,SCATSTA,7319,190,7129,9310,0,9310,-21.38561
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,SOUTHAMPTON,652,652,0,1062,1062,0,-38.6064
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,STORNOWAY,425,425,0,417,417,0,1.91847
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,SUMBURGH,11896,10810,1086,15803,7248,8555,-24.72315
23/12/2016 09:40,201610,201510,Other Reporting Airports,ABERDEEN,WICK JOHN O GROATS,548,538,10,876,876,0,-37.44292
23/12/2016 09:40,201610,201510,Other Reporting Airports,ALDERNEY,GUERNSEY,3009,3009,0,3008,3008,0,0.03324
23/12/2016 09:40,201610,201510,Other Reporting Airports,ALDERNEY,SOUTHAMPTON,1875,1875,0,1830,1830,0,2.45902
23/12/2016 09:40,201610,201510,Other Reporting Airports,BARRA,GLASGOW,1173,1173,0,801,801,0,46.44195
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST CITY (GEORGE BEST),ABERDEEN,3708,3708,0,3180,3180,0,16.60377
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST CITY (GEORGE BEST),BIRMINGHAM,22716,22716,0,21667,21395,272,4.84146
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST CITY (GEORGE BEST),BLACKPOOL,0,0,0,760,760,0,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST CITY (GEORGE BEST),CARDIFF WALES,3897,3897,0,3773,3773,0,3.28651
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EAST MIDLANDS INTERNATIONAL,13397,13397,0,12581,12581,0,6.48597
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EDINBURGH,14492,14492,0,12452,12452,0,16.38291
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EXETER,2929,2929,0,2869,2869,0,2.09132
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST CITY (GEORGE BEST),GATWICK,0,0,0,18583,18583,0,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,BELFAST CITY (GEORGE BEST),GLASGOW,14207,14207,0,13650,13650,0,4.08059
